feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target
A05,S1_VV_div_VH,0.019442722421369175,-0.001112250703020959,0.0041318300494248995
A06,S1_VV_div_VH,0.04778270548306959,-0.013607847296921634,0.010154443090787264
A07,S1_VV_div_VH,0.04534663369854078,0.007317976671737447,0.009636746320564925
A08,S1_VV_div_VH,0.035458489692024066,-0.0002502660755732529,0.007535387794031513
A09,S1_VV_div_VH,0.036832006455173545,-0.008914119132485247,0.007827277875696845
A10,S1_VV_div_VH,0.03613375954718343,-0.001515574083765595,0.007678891374371255
A11,S1_VV_div_VH,0.03248913557211125,-0.0030594381618720867,0.006904361628346253
A12,S1_VV_div_VH,0.10345394613493658,-0.015286565677489374,0.021985301960702176
A13,S1_VV_div_VH,0.012330815270405191,0.0023554770308665,0.0026204577714986337
A14,S1_VV_div_VH,0.05295108613125908,0.012105346995342872,0.011252790843033354
A15,S1_VV_div_VH,0.049750424855150625,0.007316158206153086,0.010572608914183686
A16,S1_VV_div_VH,0.01682081399613568,0.0022970469927910014,0.003574640588842292
A17,S1_VV_div_VH,0.021049755647354982,0.0028512451378800508,0.004473345400498085
A18,S1_VV_div_VH,0.03438430499540912,-0.00612128464246455,0.007307109649031207
A19,S1_VV_div_VH,0.025857163821894905,0.001677213417692761,0.005494981832111358
A20,S1_VV_div_VH,0.035518833197051736,0.0034719268845936325,0.007548211569527423
A21,S1_VV_div_VH,0.14079510731270528,0.03987741733016186,0.029920781801999943
A22,S1_VV_div_VH,0.027435567571004384,-0.002153324797848731,0.005830413048962325
A23,S1_VV_div_VH,0.041449272005902385,-0.0024977817743143463,0.008808506539832263
A24,S1_VV_div_VH,0.18166391082879896,0.06586513850780336,0.03860593127809612
A25,S1_VV_div_VH,0.691987365775246,-0.02069182799191189,0.14705626762382154
A26,S1_VV_div_VH,0.07068554846667673,-0.021529169176054512,0.015021593524047638
A27,S1_VV_div_VH,0.8594425961810614,-0.11148808244631538,0.18264267049113123
A28,S1_VV_div_VH,0.019988538601460826,0.003620233121136185,0.004247823049041369
A29,S1_VV_div_VH,0.03325580107394776,0.002777009664694835,0.007067287966010978
A30,S1_VV_div_VH,0.06039222024568718,-0.0035188726933374076,0.012834128109979205
A31,S1_VV_div_VH,0.035304449687276,-0.006910934349838233,0.007502652300172274
A32,S1_VV_div_VH,0.15513415066308212,0.011359426730633386,0.032968014021392045
A33,S1_VV_div_VH,0.013538785604320744,0.0003225753553983225,0.002877167095240274
A34,S1_VV_div_VH,0.017440696405869646,-0.004223874593294008,0.003706373620469266
A35,S1_VV_div_VH,0.04037317553846226,-0.0031856330172320897,0.008579822118798597
A36,S1_VV_div_VH,0.018601373476000823,-0.004045875942351171,0.00395303251381311
A37,S1_VV_div_VH,0.07382819518184132,0.01680281744943928,0.01568944660814928
A38,S1_VV_div_VH,0.0182562274577223,-0.00497246347261642,0.003879684519697061
A39,S1_VV_div_VH,0.2362403152965855,0.009556774077431678,0.05020412329475136
A40,S1_VV_div_VH,0.11659750469435018,-0.026193371017934522,0.024778478195758288
A41,S1_VV_div_VH,0.019601758105600615,0.004127655382802516,0.004165627189804588
A42,S1_VV_div_VH,0.03532663562583669,0.0072603126870313915,0.00750736709914091
A43,S1_VV_div_VH,0.02172740078259768,0.0027385063782421,0.00461735375858507
A44,S1_VV_div_VH,0.03567359331973308,-0.007892539000115635,0.00758110009776381
A45,S1_VV_div_VH,0.03634053569984444,0.0015379479080894806,0.007722833981921431
A46,S1_VV_div_VH,0.01651258345077084,0.0002994705811202118,0.0035091376103041972
A47,S1_VV_div_VH,0.02501152848012235,-0.0007001640375557292,0.005315273381809597
A48,S1_VV_div_VH,0.03146091932189654,0.013420690175280027,0.006685852372910155
A49,S1_VV_div_VH,0.07361451101078065,-0.019866521255368405,0.015644035957318583
A50,S1_VV_div_VH,0.0311478756963922,-0.003610372090170813,0.006619326552574513
