feature,target,mean_abs_shap,mean_signed_shap,shap_share_within_target,pearson_r,pearson_abs_r,pearson_p_value,shap_rank_within_target,pearson_rank_within_target,combined_rank_within_target
A01,S1_VV,0.04480310787118874,0.002989871895844283,0.005624252760691073,-0.15945184702078666,0.15945184702078666,9.16084127706851e-16,28.0,54.0,41.0
A12,S1_VV,0.043297931882558684,-0.0015476641485782446,0.0054353040334349815,-0.16494553790682565,0.16494553790682565,8.921721202326336e-17,30.0,52.0,41.0
A37,S1_VV,0.027783335884852288,0.0055053121098312795,0.00348771571831233,0.39936597748005276,0.39936597748005276,8.646768481159246e-97,40.0,42.0,41.0
A59,S1_VV,0.05346583564795426,-0.005060064470501372,0.006711707915669724,-0.02136109099086868,0.02136109099086868,0.2846234540338456,23.0,63.0,43.0
A28,S1_VV,0.048965581115863535,-0.003865355898423293,0.006146779048487273,-0.0627764100270235,0.0627764100270235,0.001648103637679103,26.0,60.0,43.0
A10,S1_VV,0.019476561479575456,-0.011820705716017593,0.0024449443325496086,-0.56384738467038,0.56384738467038,9.861066117296765e-211,51.0,35.0,43.0
A58,S1_VV,0.041898560116735956,0.003573477001395443,0.0052596371904162,-0.12556639803310465,0.12556639803310465,2.7193442176833224e-10,32.0,55.0,43.5
A00,S1_VV,0.01363025941728247,-0.00192791577309844,0.0017110425548376683,0.6353060972370245,0.6353060972370245,6.283916490938548e-284,60.0,27.0,43.5
A52,S1_VV,0.0344694182227904,-0.005826995498036383,0.004327037337595312,0.1602438927954411,0.1602438927954411,6.580698771429962e-16,36.0,53.0,44.5
A47,S1_VV,0.025838305115402433,1.7723186560192075e-05,0.003243550855772914,-0.28679205777086303,0.28679205777086303,9.563327468627119e-49,43.0,48.0,45.5
A23,S1_VV,0.014882238351591809,0.006272947650559445,0.001868206785449993,-0.5716994724911315,0.5716994724911315,6.58871258778839e-218,57.0,34.0,45.5
A54,S1_VV,0.015554498733360914,0.0017605933930507378,0.0019525974111837833,0.4475600199385703,0.4475600199385703,5.832515921096972e-124,55.0,38.0,46.5
A18,S1_VV,0.024849355120346136,0.006491691699556831,0.0031194053443527655,-0.26310894680340496,0.26310894680340496,4.95031513382011e-41,46.0,49.0,47.5
A41,S1_VV,0.010905698188364753,0.0019400474396605658,0.0013690211696813408,0.48345602244898095,0.48345602244898095,2.9813726575284667e-147,64.0,36.0,50.0
A09,S1_VV,0.011264519204568049,-0.000685220545978504,0.0014140649219312408,-0.4238389565680176,0.4238389565680176,4.933246910522412e-110,63.0,39.0,51.0
A38,S1_VV,0.021432967895117325,0.003352768200065552,0.002690537210063379,0.07705048116093599,0.07705048116093599,0.00011117383187164785,49.0,58.0,53.5
