feature,target,pearson_r,pearson_abs_r,pearson_p_value
A09,S1_VV,-0.4238389565680176,0.4238389565680176,4.933246910522412e-110
A09,S1_VH,-0.4769263669254457,0.4769263669254457,8.333894295498658e-143
A09,S1_VV_div_VH,0.3994756094827814,0.3994756094827814,7.585132851304726e-97
A10,S1_VV,-0.56384738467038,0.56384738467038,9.861066117296765e-211
A10,S1_VH,-0.6066786547783886,0.6066786547783886,2.331366288367798e-252
A10,S1_VV_div_VH,0.4513763164297469,0.4513763164297469,2.6297208544011227e-126
A11,S1_VV,0.8611382923347886,0.8611382923347886,0.0
A11,S1_VH,0.8290039643366698,0.8290039643366698,0.0
A11,S1_VV_div_VH,-0.40836803824163714,0.40836803824163714,1.561080736380032e-101
A12,S1_VV,-0.16494553790682565,0.16494553790682565,8.921721202326336e-17
A12,S1_VH,-0.24509627272052886,0.24509627272052886,1.1407699756669667e-35
A12,S1_VV_div_VH,0.32683289763408807,0.32683289763408807,1.378814550905312e-63
A13,S1_VV,0.6456707842622743,0.6456707842622743,3.3509738152063335e-296
A13,S1_VH,0.661657040032267,0.661657040032267,4.2560376e-316
A13,S1_VV_div_VH,-0.4216442019401121,0.4216442019401121,8.440264037388119e-109
A14,S1_VV,-0.7083440874532211,0.7083440874532211,0.0
A14,S1_VH,-0.6356891374114972,0.6356891374114972,2.2544355349673227e-284
A14,S1_VV_div_VH,0.20276219147931507,0.20276219147931507,1.0440889634681698e-24
A15,S1_VV,-0.3266372780888618,0.3266372780888618,1.6509469428676858e-63
A15,S1_VH,-0.2827727114454631,0.2827727114454631,2.208093020314957e-47
A15,S1_VV_div_VH,0.06365246303603647,0.06365246303603647,0.0014165107169327117
A16,S1_VV,0.08982598507580464,0.08982598507580464,6.542821146433793e-06
A16,S1_VH,-0.007020696886994412,0.007020696886994412,0.7251116878005001
A16,S1_VV_div_VH,0.22672367856983533,0.22672367856983533,1.2365339420243478e-30
A17,S1_VV,0.8456270900268109,0.8456270900268109,0.0
A17,S1_VH,0.829346124036652,0.829346124036652,0.0
A17,S1_VV_div_VH,-0.44501217738787646,0.44501217738787646,2.067643169921539e-122
A18,S1_VV,-0.26310894680340496,0.26310894680340496,4.95031513382011e-41
A18,S1_VH,-0.3833261870816639,0.3833261870816639,1.0767657027385103e-88
A18,S1_VV_div_VH,0.49935124546179593,0.49935124546179593,1.7311776405706248e-158
A19,S1_VV,0.3863480358102768,0.3863480358102768,3.477462300561302e-90
A19,S1_VH,0.43823479299664264,0.43823479299664264,2.364456322515341e-118
A19,S1_VV_div_VH,-0.3742081060115545,0.3742081060115545,2.730219920956315e-84
A20,S1_VV,0.19236797706689476,0.19236797706689476,2.342739740258535e-22
A20,S1_VH,0.10399168151371675,0.10399168151371675,1.7644653886953073e-07
A20,S1_VV_div_VH,0.14267401883523112,0.14267401883523112,6.840268846549187e-13
A21,S1_VV,-0.3329855876778126,0.3329855876778126,4.461775275973553e-66
A21,S1_VH,-0.4502405270389379,0.4502405270389379,1.3219961861743778e-125
A21,S1_VV_div_VH,0.5314660925631866,0.5314660925631866,4.345753217363767e-183
A22,S1_VV,-0.017275496235669423,0.017275496235669423,0.3868705510010226
A22,S1_VH,-0.1063335959912685,0.1063335959912685,9.250760572456063e-08
A22,S1_VV_div_VH,0.26659007647303434,0.26659007647303434,4.0604313880054954e-42
A23,S1_VV,-0.5716994724911315,0.5716994724911315,6.58871258778839e-218
A23,S1_VH,-0.6819704687295216,0.6819704687295216,0.0
A23,S1_VV_div_VH,0.6502108025697279,0.6502108025697279,9.935416515455024e-302
