feature_set,target,model_name,fraction,n_train,train_r2_mean,train_r2_std,valid_r2_mean,valid_r2_std,train_rmse_mean,valid_rmse_mean
embedding_plus_context,S1_VH,lightgbm,0.6,1224.0,0.9969938192985222,0.00032705802538892997,0.9350520500946352,0.0017421456037806306,0.27311738957705106,1.2549066977860475
embedding_plus_context,S1_VH,lightgbm,0.8,1620.0,0.9960763570399543,0.00019060895218074708,0.938807481278188,0.0016639082703753317,0.3124007791004038,1.2180837458316507
embedding_plus_context,S1_VH,lightgbm,1.0,2016.0,0.995087527008747,0.0,0.9430943540349549,0.0,0.349175970840081,1.1747152856414813
embedding_plus_context,S1_VH,ridge,0.1,216.0,0.9378460223579266,0.005041904248923623,0.9002049673559473,0.003864077125998501,1.2202045995280402,1.5554464304536477
embedding_plus_context,S1_VH,ridge,0.2,396.0,0.937672993484314,0.002589005661391217,0.9159331054369932,0.004363263379263348,1.2274293095821776,1.4274837323647371
embedding_plus_context,S1_VH,ridge,0.4,792.0,0.9453120795369002,0.0008233619783216752,0.9230948488539187,0.0005675602843509117,1.1605635940316505,1.3656225755485252
embedding_plus_context,S1_VH,ridge,0.6,1224.0,0.9452823133125842,0.0007929687115755076,0.9271874411602097,0.0007584322215664377,1.166459514577351,1.328783330615858
embedding_plus_context,S1_VH,ridge,0.8,1620.0,0.9444952726868144,0.00042889784884171867,0.928264909795827,0.00012005136371477925,1.1752054738314213,1.3189267123038007
embedding_plus_context,S1_VH,ridge,1.0,2016.0,0.9449778482016051,0.0,0.9286922597720987,0.0,1.1685923712879147,1.314992506388506
embedding_plus_context,S1_VV,lightgbm,0.1,216.0,0.9988196289385601,0.0001463066591334244,0.7760497277074972,0.009467977530723745,0.12795931312863398,1.899076050220016
embedding_plus_context,S1_VV,lightgbm,0.2,396.0,0.9986037973472889,0.0001928875425936454,0.832677927280573,0.0018827691176017385,0.14168391604719813,1.6417386352736933
embedding_plus_context,S1_VV,lightgbm,0.4,792.0,0.996726544139887,0.0002773889741020249,0.8678009601025751,0.003344707269803243,0.2200960367417203,1.4592277303725734
embedding_plus_context,S1_VV,lightgbm,0.6,1224.0,0.9936549654085133,0.00045704752729937634,0.8866924829739112,0.001936189629544566,0.30794299046523393,1.3509858896816827
embedding_plus_context,S1_VV,lightgbm,0.8,1620.0,0.990774133304705,0.0005463150863897735,0.8941411631576157,0.003220915147730484,0.3695558139513369,1.3057559310375104
embedding_plus_context,S1_VV,lightgbm,1.0,2016.0,0.9886245738851143,0.0,0.9015034790509713,0.0,0.4098144740588577,1.2596283130502395
embedding_plus_context,S1_VV,ridge,0.1,216.0,0.8957958798885853,0.011937025340215832,0.8177621729310479,0.0033713377344869867,1.202624075735075,1.7133216027020683
embedding_plus_context,S1_VV,ridge,0.2,396.0,0.8985600274511695,0.008168234247312781,0.847522887160837,0.0026724573496995987,1.2083027281765242,1.5671953097608604
embedding_plus_context,S1_VV,ridge,0.4,792.0,0.9132137468853142,0.006471049696878035,0.8611720628763658,0.0045828373168476455,1.1335292756565838,1.4953101302888925
embedding_plus_context,S1_VV,ridge,0.6,1224.0,0.9120937737063567,0.003064858983874995,0.8682687325408169,0.0002949535142965681,1.146449410102597,1.456720467238999
embedding_plus_context,S1_VV,ridge,0.8,1620.0,0.9091297116115755,0.0011206869980270753,0.8696407434021936,0.0007048485184835351,1.160360810375489,1.4491116549590355
embedding_plus_context,S1_VV,ridge,1.0,2016.0,0.909324351579753,0.0,0.8704684806184497,0.0,1.157041112986271,1.4445071582009106
embedding_plus_context,S1_VV_div_VH,lightgbm,0.1,216.0,0.8493129431821514,0.016216178944207,0.5424675065284186,0.029061173264492767,0.7529813604856798,1.4224372170374122
embedding_plus_context,S1_VV_div_VH,lightgbm,0.2,396.0,0.9209698218247677,0.01179649640511464,0.6067016560380866,0.020374927302958503,0.5527788985225071,1.3189670570261334
embedding_plus_context,S1_VV_div_VH,lightgbm,0.4,792.0,0.9533019587841793,0.002413486460655734,0.6495893670542556,0.019439209598831764,0.43241131945695815,1.2449418409268447
embedding_plus_context,S1_VV_div_VH,lightgbm,0.6,1224.0,0.9614668884777279,0.0004328814391269499,0.6754366061655753,0.006136181266055452,0.39857869168736276,1.1984143990335516
embedding_plus_context,S1_VV_div_VH,lightgbm,0.8,1620.0,0.9623945237367156,0.0027093225497800593,0.6894663976092685,0.008842477313093944,0.394729844123088,1.1721815923685635
embedding_plus_context,S1_VV_div_VH,lightgbm,1.0,2016.0,0.9606039975771332,0.0,0.6989116158454656,0.0,0.4078457680984499,1.154295932951863
embedding_plus_context,S1_VV_div_VH,ridge,0.1,216.0,0.748645938164215,0.027916942968805245,0.6022177238580634,0.016544102467764943,0.972948064901661,1.3265716943325823
embedding_plus_context,S1_VV_div_VH,ridge,0.2,396.0,0.7524938503724069,0.03060992587635801,0.6498093739719687,0.019487042590317635,0.9794831422367496,1.2445475916064714
embedding_plus_context,S1_VV_div_VH,ridge,0.4,792.0,0.7625763627299275,0.007937451432722545,0.6834476862660198,0.01298586708870028,0.9749483114293526,1.18340081580304
embedding_plus_context,S1_VV_div_VH,ridge,0.6,1224.0,0.7633338326619529,0.0031095964038210123,0.698853734558205,0.0037003534234613528,0.9878091510115693,1.1543924011768723
embedding_plus_context,S1_VV_div_VH,ridge,0.8,1620.0,0.7637174452955461,0.008070978155532281,0.7048670539679386,0.0013313772501905266,0.9897763576495638,1.142821167413668
embedding_plus_context,S1_VV_div_VH,ridge,1.0,2016.0,0.7641694341369917,0.0,0.7081024061114064,0.0,0.9978607241654811,1.1365418251344743
