feature_set,target,model_name,seed,fold,r2,rmse,mae,pearson_r,n_valid
embedding_only,S1_VV_div_VH,ridge,62,1,0.7171043523133049,1.0335434544149145,0.765540411122866,0.8470962214448475,777
embedding_only,S1_VV_div_VH,ridge,62,2,0.6958398850353675,1.0931540761068534,0.8248175781848112,0.8352708006125129,687
embedding_only,S1_VV_div_VH,ridge,62,3,0.7443199533400437,1.0390717840477044,0.7727986554335383,0.8631920603859398,644
embedding_only,S1_VV_div_VH,ridge,62,4,0.7568428998574149,1.1133024303775876,0.7851298171700046,0.8753215840043154,772
embedding_only,S1_VV_div_VH,lightgbm,42,1,0.7239510217219406,1.0209598886849631,0.7631800733399433,0.8512265777933165,777
embedding_only,S1_VV_div_VH,lightgbm,42,2,0.6894062538631036,1.1046548409169614,0.822557010214636,0.8303955876111644,687
embedding_only,S1_VV_div_VH,lightgbm,42,3,0.7577103625623864,1.0114968935204125,0.7669451445283835,0.8720166939585517,644
embedding_only,S1_VV_div_VH,lightgbm,42,4,0.756597726610312,1.113863555680072,0.7911365655753138,0.8714916368597636,772
embedding_only,S1_VV_div_VH,lightgbm,52,1,0.7239510217219406,1.0209598886849631,0.7631800733399433,0.8512265777933165,777
embedding_only,S1_VV_div_VH,lightgbm,52,2,0.6894062538631036,1.1046548409169614,0.822557010214636,0.8303955876111644,687
embedding_only,S1_VV_div_VH,lightgbm,52,3,0.7577103625623864,1.0114968935204125,0.7669451445283835,0.8720166939585517,644
embedding_only,S1_VV_div_VH,lightgbm,52,4,0.756597726610312,1.113863555680072,0.7911365655753138,0.8714916368597636,772
embedding_only,S1_VV_div_VH,lightgbm,62,1,0.7239510217219406,1.0209598886849631,0.7631800733399433,0.8512265777933165,777
embedding_only,S1_VV_div_VH,lightgbm,62,2,0.6894062538631036,1.1046548409169614,0.822557010214636,0.8303955876111644,687
embedding_only,S1_VV_div_VH,lightgbm,62,3,0.7577103625623864,1.0114968935204125,0.7669451445283835,0.8720166939585517,644
embedding_only,S1_VV_div_VH,lightgbm,62,4,0.756597726610312,1.113863555680072,0.7911365655753138,0.8714916368597636,772
embedding_plus_context,S1_VV,ridge,42,1,0.8903257322178892,1.3092813931679388,0.9273016138378033,0.9438919744396719,777
embedding_plus_context,S1_VV,ridge,42,2,0.9016242808230941,1.2289323051306922,0.875342762227715,0.9497661684080597,687
embedding_plus_context,S1_VV,ridge,42,3,0.8938884121586811,1.2256782498417889,0.8455506353887035,0.9455333111783164,644
embedding_plus_context,S1_VV,ridge,42,4,0.8753237580300086,1.3711856630931243,0.9287208075347718,0.9356278699886484,772
embedding_plus_context,S1_VV,ridge,52,1,0.8903257322178892,1.3092813931679388,0.9273016138378033,0.9438919744396719,777
embedding_plus_context,S1_VV,ridge,52,2,0.9016242808230941,1.2289323051306922,0.875342762227715,0.9497661684080597,687
