feature_set,target,model_name,fraction,seed,n_train,train_r2,train_rmse,valid_r2,valid_rmse
embedding_plus_context,S1_VV,lightgbm,0.8,13,1620,0.9914042209818978,0.36216179633195583,0.894123021499127,1.3059686084431779
embedding_plus_context,S1_VV,lightgbm,0.8,23,1620,0.9904325882792617,0.37625628020433627,0.8973711108160869,1.2857803447756018
embedding_plus_context,S1_VV,lightgbm,0.8,33,1620,0.9904855906529552,0.37024936531771874,0.8909293571576333,1.3255188398937519
embedding_plus_context,S1_VV,lightgbm,1.0,13,2016,0.9886245738851143,0.4098144740588577,0.9015034790509713,1.2596283130502395
embedding_plus_context,S1_VV,lightgbm,1.0,23,2016,0.9886245738851143,0.4098144740588577,0.9015034790509713,1.2596283130502395
embedding_plus_context,S1_VV,lightgbm,1.0,33,2016,0.9886245738851143,0.4098144740588577,0.9015034790509713,1.2596283130502395
embedding_plus_context,S1_VH,ridge,0.1,13,216,0.9391089861834466,1.2016756073738601,0.9041362669728271,1.5246919577224067
embedding_plus_context,S1_VH,ridge,0.1,23,216,0.9421363785405213,1.1600126118396528,0.8964118180188057,1.5849298566594114
embedding_plus_context,S1_VH,ridge,0.1,33,216,0.9322927023498119,1.2989255793706076,0.9000668170762093,1.556717476979125
embedding_plus_context,S1_VH,ridge,0.2,13,396,0.9352940844179987,1.2425033760871134,0.9177541979527015,1.412250740677876
embedding_plus_context,S1_VH,ridge,0.2,23,396,0.9404304225247159,1.16736115185745,0.9109542937190512,1.4694723970598353
embedding_plus_context,S1_VH,ridge,0.2,33,396,0.9372944735102275,1.2724234008019695,0.919090824639227,1.4007280593565004
embedding_plus_context,S1_VH,ridge,0.4,13,792,0.9451313226102803,1.16502019515691,0.9232435735246414,1.364307651248782
embedding_plus_context,S1_VH,ridge,0.4,23,792,0.944594113922818,1.1522554501822475,0.9235732390903391,1.3613746771330442
embedding_plus_context,S1_VH,ridge,0.4,33,792,0.9462108020776023,1.1644151367557942,0.9224677339467756,1.3711853982637496
embedding_plus_context,S1_VH,ridge,0.6,13,1224,0.9461783531410362,1.162593830510009,0.926325298521008,1.336639014946228
embedding_plus_context,S1_VH,ridge,0.6,23,1224,0.9449974921940293,1.1594056500402916,0.9274852758971356,1.3260748566440863
embedding_plus_context,S1_VH,ridge,0.6,33,1224,0.9446710946026872,1.177379063181753,0.9277517490624855,1.3236361202572602
embedding_plus_context,S1_VH,ridge,0.8,13,1620,0.9444846092902563,1.1837153388954276,0.9283814727817719,1.317855016336576
embedding_plus_context,S1_VH,ridge,0.8,23,1620,0.944071805966578,1.1740289376342774,0.9281416503630558,1.32005966259881
embedding_plus_context,S1_VH,ridge,0.8,33,1620,0.9449294028036092,1.167872144964559,0.9282716062426533,1.318865457976016
embedding_plus_context,S1_VH,ridge,1.0,13,2016,0.9449778482016051,1.1685923712879147,0.9286922597720987,1.314992506388506
embedding_plus_context,S1_VH,ridge,1.0,23,2016,0.9449778482016051,1.1685923712879147,0.9286922597720987,1.314992506388506
embedding_plus_context,S1_VH,ridge,1.0,33,2016,0.9449778482016051,1.1685923712879147,0.9286922597720987,1.314992506388506
embedding_plus_context,S1_VH,lightgbm,0.1,13,216,0.9974901902651471,0.24396697585226504,0.8792168298580005,1.7114261091032348
embedding_plus_context,S1_VH,lightgbm,0.1,23,216,0.9968966365480488,0.26864343138363356,0.8601563373291441,1.8415195601499237
embedding_plus_context,S1_VH,lightgbm,0.1,33,216,0.9977648429927835,0.23600464280860578,0.8729016106288138,1.7555975441697738
embedding_plus_context,S1_VH,lightgbm,0.2,13,396,0.9986745224109749,0.17783276399220685,0.8950649857813361,1.595200047754849
embedding_plus_context,S1_VH,lightgbm,0.2,23,396,0.9990221429688757,0.1495652351366204,0.8979867855624548,1.572834972662905
embedding_plus_context,S1_VH,lightgbm,0.2,33,396,0.9989472586104512,0.1648692214769018,0.9004843259725918,1.5534621835670634
embedding_plus_context,S1_VH,lightgbm,0.4,13,792,0.9979164594404655,0.2270242175265509,0.9244731913991288,1.3533356056623214
embedding_plus_context,S1_VH,lightgbm,0.4,23,792,0.9977808472104741,0.23060271755567927,0.9277705297670668,1.32346407156177
embedding_plus_context,S1_VH,lightgbm,0.4,33,792,0.9981756355437083,0.2144450912146616,0.921286753293023,1.3815889600618307
embedding_plus_context,S1_VH,lightgbm,0.6,13,1224,0.9973561566904727,0.2576720894167771,0.933791659123659,1.267101174885211
embedding_plus_context,S1_VH,lightgbm,0.6,23,1224,0.9969048496414095,0.27503314972283927,0.9343244413766447,1.2619926596914575
embedding_plus_context,S1_VH,lightgbm,0.6,33,1224,0.9967204515636844,0.2866469295915367,0.9370400497836016,1.235626258781474
embedding_plus_context,S1_VH,lightgbm,0.8,13,1620,0.9960278530188988,0.3166308524524948,0.9407102132674607,1.199070960463193
embedding_plus_context,S1_VH,lightgbm,0.8,23,1620,0.9959146862369074,0.31730441302313106,0.937625249597552,1.2298704064667043
embedding_plus_context,S1_VH,lightgbm,0.8,33,1620,0.9962865318640567,0.3032670718255857,0.9380869809695515,1.2253098705650545
embedding_plus_context,S1_VH,lightgbm,1.0,13,2016,0.995087527008747,0.349175970840081,0.9430943540349548,1.1747152856414813
embedding_plus_context,S1_VH,lightgbm,1.0,23,2016,0.995087527008747,0.349175970840081,0.9430943540349548,1.1747152856414813
embedding_plus_context,S1_VH,lightgbm,1.0,33,2016,0.995087527008747,0.349175970840081,0.9430943540349548,1.1747152856414813
embedding_plus_context,S1_VV_div_VH,ridge,0.1,13,216,0.7256695464366851,0.9515970121536822,0.5839004621038295,1.3569654237402402
embedding_plus_context,S1_VV_div_VH,ridge,0.1,23,216,0.7405530264977391,1.0281357346779052,0.6160737761378294,1.3034490313848717
embedding_plus_context,S1_VV_div_VH,ridge,0.1,33,216,0.7797152415582206,0.9391114478733955,0.6066789333325314,1.319300627872635
embedding_plus_context,S1_VV_div_VH,ridge,0.2,13,396,0.7469700670967355,0.9555503360880789,0.6280721641851477,1.2829197959017973
embedding_plus_context,S1_VV_div_VH,ridge,0.2,23,396,0.7250219293843316,1.0585618138649164,0.6657143577162652,1.2162672895088513
embedding_plus_context,S1_VV_div_VH,ridge,0.2,33,396,0.7854895546361534,0.9243372767572537,0.6556416000144933,1.2344556894087657
embedding_plus_context,S1_VV_div_VH,ridge,0.4,13,792,0.759301858390999,0.9723340588959916,0.6708426879925722,1.2069017542166662
embedding_plus_context,S1_VV_div_VH,ridge,0.4,23,792,0.7568000225685725,1.0105335968424427,0.6967835528707618,1.1583679752715734
embedding_plus_context,S1_VV_div_VH,ridge,0.4,33,792,0.771627207230211,0.9419772785496232,0.6827168179347256,1.1849327179208802
embedding_plus_context,S1_VV_div_VH,ridge,0.6,13,1224,0.7634387086123157,0.9825984583377796,0.6946140085150767,1.162504708801783
embedding_plus_context,S1_VV_div_VH,ridge,0.6,23,1224,0.7601731249798552,1.001997920433646,0.7005140785182087,1.1512201187227031
embedding_plus_context,S1_VV_div_VH,ridge,0.6,33,1224,0.7663896643936877,0.9788310742632821,0.7014331166413295,1.1494523760061306
embedding_plus_context,S1_VV_div_VH,ridge,0.8,13,1620,0.7581776351856262,1.0020666498872706,0.7053940583069086,1.1418023059725966
embedding_plus_context,S1_VV_div_VH,ridge,0.8,23,1620,0.7599970833031034,0.9973180903595477,0.7058542576800879,1.14091016159687
embedding_plus_context,S1_VV_div_VH,ridge,0.8,33,1620,0.7729776173979087,0.9699443327018734,0.7033528459168191,1.1457510346715372
embedding_plus_context,S1_VV_div_VH,ridge,1.0,13,2016,0.7641694341369918,0.9978607241654811,0.7081024061114063,1.1365418251344743
embedding_plus_context,S1_VV_div_VH,ridge,1.0,23,2016,0.7641694341369918,0.9978607241654811,0.7081024061114063,1.1365418251344743
embedding_plus_context,S1_VV_div_VH,ridge,1.0,33,2016,0.7641694341369918,0.9978607241654811,0.7081024061114063,1.1365418251344743
embedding_plus_context,S1_VV_div_VH,lightgbm,0.1,13,216,0.8308794545259404,0.7471610854404189,0.5342832756802687,1.4355921736711388
embedding_plus_context,S1_VV_div_VH,lightgbm,0.1,23,216,0.8556802434378902,0.7668122521549507,0.5747432265050878,1.3718157504283799
embedding_plus_context,S1_VV_div_VH,lightgbm,0.1,33,216,0.8613791315826238,0.7449707438616697,0.5183760173998992,1.4599037270127175
embedding_plus_context,S1_VV_div_VH,lightgbm,0.2,13,396,0.9137251941307657,0.5579684141305044,0.5864719945559509,1.3527658412424177
embedding_plus_context,S1_VV_div_VH,lightgbm,0.2,23,396,0.9146024482583731,0.5899156301718862,0.6272188067049926,1.2843907290272685
embedding_plus_context,S1_VV_div_VH,lightgbm,0.2,33,396,0.9345818230851645,0.5104526512651307,0.6064141668533163,1.319744600808714
embedding_plus_context,S1_VV_div_VH,lightgbm,0.4,13,792,0.9542866480344345,0.423741172154626,0.627180107768243,1.2844573944956055
embedding_plus_context,S1_VV_div_VH,lightgbm,0.4,23,792,0.9505518038910946,0.4556634754096079,0.6596752056012565,1.2272045601485477
embedding_plus_context,S1_VV_div_VH,lightgbm,0.4,33,792,0.9550674244270088,0.41782931080664054,0.6619127877932676,1.223163568136381
embedding_plus_context,S1_VV_div_VH,lightgbm,0.6,13,1224,0.9618589437741514,0.39454868027752016,0.6689449281310578,1.210375956004317
embedding_plus_context,S1_VV_div_VH,lightgbm,0.6,23,1224,0.9615393861053287,0.4012601229711841,0.6762235210782686,1.1969963135258195
embedding_plus_context,S1_VV_div_VH,lightgbm,0.6,33,1224,0.9610023355537033,0.3999272718133839,0.6811413692873993,1.1878709275705184
embedding_plus_context,S1_VV_div_VH,lightgbm,0.8,13,1620,0.9604050603406727,0.4054788622908441,0.6830449561892147,1.184319823259526
embedding_plus_context,S1_VV_div_VH,lightgbm,0.8,23,1620,0.9612983333353748,0.4004887039260835,0.6995519435970166,1.1530678531680767
embedding_plus_context,S1_VV_div_VH,lightgbm,0.8,33,1620,0.9654801775340992,0.37822196615233633,0.6858022930415741,1.1791571006780874
embedding_plus_context,S1_VV_div_VH,lightgbm,1.0,13,2016,0.9606039975771332,0.4078457680984499,0.6989116158454656,1.154295932951863
embedding_plus_context,S1_VV_div_VH,lightgbm,1.0,23,2016,0.9606039975771332,0.4078457680984499,0.6989116158454656,1.154295932951863
