system:index,bare,built,crops,flooded_vegetation,grass,label_mode,latitude,longitude,shrub_and_scrub,snow_and_ice,trees,water,.geo
27_0,0.0369465930853039,0.7102670669555664,0.02639335789717734,0.039058342576026917,0.034626113483682275,6,37.55681031423316,-121.98640959666098,0.02345567778684199,0.04378934297710657,0.04465570696629584,0.03760058060288429,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.98640959666098,37.55681031423316]}"
28_0,0.06530015845783055,0.11215925426222384,0.09014860028401017,0.034087851139095925,0.06710159871727228,5,37.636311216877736,-121.76227993327316,0.37728457304183394,0.03426362993195653,0.10705606197007,0.03805761830881238,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.76227993327316,37.636311216877736]}"
29_0,0.14936449588276446,0.03548893076367676,0.46329687465913594,0.03349212522152811,0.06337442167568952,4,37.74491753472779,-121.38364004101678,0.10838330548722297,0.03901613620109856,0.03401610744185746,0.04242100869305432,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.38364004101678,37.74491753472779]}"
30_0,0.06321922037750483,0.03366745659150183,0.04700750135816634,0.034105640137568116,0.05982090742327273,1,37.29171747388949,-121.28662199033187,0.3161316514015198,0.027152337366715074,0.36873892322182655,0.03595611290074885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.28662199033187,37.29171747388949]}"
31_0,0.03990667837206274,0.03951813746243715,0.040167260565795004,0.03479399031493813,0.06293242156971246,1,37.48359761857742,-121.56366242395433,0.28604565479326993,0.02608439896721393,0.408253351226449,0.04205250111408532,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.56366242395433,37.48359761857742]}"
32_0,0.0694718916201964,0.03490208007860929,0.044999231584370136,0.025467070401646197,0.036378619843162596,5,37.31103125249806,-121.44849840453021,0.4476878634886816,0.0358780367532745,0.2686142281163484,0.030961151351220906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.44849840453021,37.31103125249806]}"
33_0,0.13338500284589827,0.6042395832482725,0.04070375207811594,0.023357629776000977,0.04270413168706,6,37.704403515414,-121.43152024566035,0.019655410200357437,0.08544666902162135,0.027374049881473184,0.026462814072147012,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.43152024566035,37.704403515414]}"
34_0,0.13149697915650904,0.043083356926217675,0.061292812461033463,0.02457167231477797,0.07857030723243952,5,37.55222890628415,-121.64244467437162,0.49498576298356056,0.036432193825021386,0.07323227473534644,0.02122584357857704,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.64244467437162,37.55222890628415]}"
35_0,0.0302374514285475,0.07976827735546976,0.5847228780621663,0.0330517488764599,0.0673395578050986,4,37.72066302205656,-121.12842866879842,0.036829490680247545,0.0243759760633111,0.05620731273666024,0.040249439189210534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.12842866879842,37.72066302205656]}"
36_0,0.028706023857618373,0.7531790472567081,0.027835451997816563,0.030014971271157265,0.025904808193445206,6,37.68149647566895,-121.04299888527866,0.030120811657980084,0.026047446066513658,0.037314128247089684,0.04170106025412679,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.04299888527866,37.68149647566895]}"
37_0,0.042053950601257384,0.04215183341875672,0.07256939460057765,0.03125413251109421,0.08837527793366462,1,37.24105249186515,-121.65008035428663,0.2407506062882021,0.03201727627310902,0.38127456849906594,0.027304452378302813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-121.65008035428663,37.24105249186515]}"
